Style,Price,Rating,Size,Season,NeckLine,SleeveLength,WaistLine,Material,FabricType,Decoration,PatternType,Recommendation
sexy,low,4.6,M,summer,o-neck,sleeveless,empire,unknown,chiffon,ruffles,animal,1
casual,low,0.0,L,summer,o-neck,Petal,natural,microfiber,unknown,ruffles,animal,0
vintage,high,0.0,L,automn,o-neck,full,natural,polyster,unknown,unknown,print,0
brief,average,4.6,L,spring,o-neck,full,natural,silk,chiffon,embroidary,print,1
cute,low,4.5,M,summer,o-neck,butterfly,natural,chiffonfabric,chiffon,bow,dot,0
bohemian,low,0.0,M,summer,v-neck,sleeveless,empire,unknown,unknown,unknown,print,0
casual,average,0.0,XL,summer,o-neck,full,unknown,cotton,unknown,unknown,solid,0
novelty,average,0.0,free,automn,o-neck,short,natural,polyster,broadcloth,lace,unknown,0
flare,average,0.0,free,spring,v-neck,short,empire,cotton,broadcloth,beading,solid,1
bohemian,low,0.0,free,summer,v-neck,sleeveless,natural,nylon,chiffon,unknown,unknown,1
party,average,5.0,free,summer,o-neck,full,natural,polyster,broadcloth,lace,solid,0
flare,average,0.0,free,spring,v-neck,short,unknown,nylon,unknown,unknown,animal,0
sexy,low,4.7,M,winter,o-neck,threequarter,unknown,unknown,chiffon,lace,print,1
vintage,average,4.8,M,summer,o-neck,short,empire,cotton,jersey,unknown,animal,1
casual,low,5.0,M,summer,boat-neck,short,unknown,cotton,unknown,sashes,solid,0
casual,low,0.0,free,winter,boat-neck,full,unknown,other,other,lace,unknown,0
cute,average,4.7,L,spring,o-neck,short,unknown,cotton,unknown,sashes,solid,1
bohemian,medium,5.0,free,automn,o-neck,full,natural,unknown,unknown,hollowout,patchwork,1
brief,average,0.0,M,winter,peterpan-collor,threequarter,natural,cotton,unknown,unknown,patchwork,0
sexy,average,5.0,M,automn,o-neck,sleeveless,empire,silk,unknown,unknown,unknown,1
sexy,average,4.5,L,automn,o-neck,full,unknown,cotton,unknown,beading,solid,0
casual,low,4.3,M,summer,o-neck,sleeveless,natural,unknown,chiffon,unknown,solid,0
brief,low,4.0,XL,summer,v-neck,short,natural,cotton,unknown,pockets,solid,0
sexy,average,4.7,S,summer,v-neck,sleeveless,empire,cotton,unknown,sequined,solid,1
sexy,average,0.0,free,automn,v-neck,sleeveless,natural,polyster,unknown,lace,patchwork,0
sexy,average,0.0,M,automn,o-neck,sleeveless,empire,cotton,broadcloth,unknown,print,0
sexy,average,4.7,M,spring,o-neck,sleeveless,natural,unknown,unknown,unknown,solid,1
casual,low,0.0,L,summer,o-neck,sleeveless,natural,cotton,jersey,unknown,print,0
cute,low,4.3,free,automn,o-neck,sleeveless,natural,polyster,chiffon,sashes,striped,0
cute,low,4.7,M,spring,ruffled,short,empire,chiffonfabric,chiffon,bow,dot,1
casual,average,4.6,L,automn,o-neck,sleeveless,empire,polyster,chiffon,ruffles,solid,0
casual,low,0.0,M,spring,o-neck,sleeveless,natural,silk,chiffon,applique,solid,1
casual,average,4.4,L,automn,o-neck,sleeveless,natural,linen,chiffon,ruffles,animal,0
brief,average,4.3,L,spring,o-neck,sleeveless,empire,unknown,unknown,bow,solid,1
party,high,4.7,M,spring,o-neck,threequarter,unknown,unknown,unknown,unknown,print,0
casual,low,4.6,free,winter,boat-neck,full,natural,cotton,unknown,unknown,patchwork,1
vintage,average,4.6,free,winter,o-neck,full,natural,unknown,chiffon,unknown,print,1
brief,average,0.0,M,automn,o-neck,short,natural,cotton,unknown,unknown,print,0
party,average,4.6,M,winter,o-neck,sleeveless,natural,cotton,unknown,lace,solid,1
casual,average,4.5,M,spring,v-neck,short,empire,cotton,unknown,button,solid,1
brief,average,5.0,free,spring,v-neck,sleeveless,natural,cotton,broadcloth,lace,solid,1
brief,low,4.4,L,automn,o-neck,halfsleeve,natural,rayon,chiffon,sashes,solid,0
casual,average,4.8,M,winter,o-neck,short,natural,lycra,broadcloth,applique,patchwork,0
casual,low,4.8,free,spring,o-neck,sleeveless,natural,cotton,unknown,unknown,print,0
vintage,average,4.8,M,winter,o-neck,sleeveless,natural,cotton,unknown,unknown,patchwork,1
sexy,average,0.0,M,winter,o-neck,short,natural,unknown,unknown,lace,solid,0
sexy,average,4.8,L,spring,v-neck,threequarter,empire,polyster,unknown,lace,geometric,0
casual,average,0.0,M,summer,o-neck,halfsleeve,natural,cotton,chiffon,ruffles,dot,1
casual,low,4.7,M,summer,o-neck,sleeveless,empire,silk,unknown,unknown,solid,0
casual,medium,0.0,L,winter,boat-neck,full,empire,unknown,unknown,unknown,solid,1
sexy,low,5.0,free,summer,v-neck,sleeveless,empire,unknown,chiffon,unknown,animal,1
casual,low,4.3,free,summer,o-neck,sleeveless,unknown,silk,unknown,unknown,animal,0
casual,average,0.0,L,spring,o-neck,halfsleeve,natural,polyster,chiffon,hollowout,solid,1
casual,average,4.6,free,automn,o-neck,sleeveless,natural,polyster,chiffon,sashes,solid,1
sexy,average,4.5,M,spring,o-neck,threequarter,natural,polyster,unknown,lace,geometric,0
novelty,average,0.0,S,winter,turndowncollor,full,natural,cotton,unknown,unknown,patchwork,0
casual,average,4.9,S,winter,turndowncollor,full,natural,cotton,unknown,unknown,solid,1
sexy,low,4.6,L,automn,o-neck,sleeveless,natural,unknown,unknown,lace,solid,1
bohemian,low,4.5,M,summer,v-neck,sleeveless,natural,polyster,unknown,unknown,print,1
work,average,0.0,M,automn,slash-neck,sleeveless,natural,polyster,unknown,bow,patchwork,0
cute,high,0.0,M,spring,v-neck,full,natural,rayon,unknown,unknown,solid,1
casual,average,0.0,free,spring,o-neck,short,natural,cotton,unknown,hollowout,plaid,0
casual,average,5.0,M,summer,o-neck,short,empire,polyster,chiffon,unknown,animal,0
casual,average,4.7,M,spring,o-neck,sleeveless,natural,unknown,chiffon,sashes,solid,0
sexy,low,4.0,S,automn,o-neck,sleeveless,empire,cotton,unknown,unknown,solid,1
casual,average,5.0,M,automn,v-neck,short,natural,cotton,broadcloth,beading,solid,0
casual,low,0.0,free,summer,v-neck,halfsleeve,natural,silk,broadcloth,applique,solid,0
casual,medium,4.5,S,winter,o-neck,full,natural,polyster,unknown,unknown,patchwork,1
work,average,4.8,L,summer,v-neck,short,natural,polyster,unknown,hollowout,solid,0
casual,medium,0.0,M,automn,v-neck,short,empire,polyster,unknown,unknown,solid,0
bohemian,average,5.0,free,summer,v-neck,sleeveless,natural,cotton,batik,unknown,print,1
sexy,low,0.0,M,spring,v-neck,short,natural,polyster,satin,ruffles,solid,1
sexy,average,4.2,M,winter,v-neck,sleeveless,natural,cotton,flannael,unknown,solid,0
casual,low,4.8,free,spring,o-neck,full,natural,cotton,worsted,lace,solid,0
casual,low,4.4,S,automn,o-neck,sleeveless,natural,polyster,unknown,unknown,solid,0
casual,low,4.7,L,spring,o-neck,short,unknown,chiffonfabric,chiffon,bow,dot,0
casual,average,5.0,XL,winter,boat-neck,full,unknown,cotton,unknown,unknown,geometric,1
casual,low,0.0,free,spring,v-neck,sleeveless,unknown,cotton,unknown,unknown,print,0
casual,average,0.0,free,spring,o-neck,sleeveless,natural,unknown,chiffon,unknown,solid,0
bohemian,very-high,4.7,free,winter,v-neck,sleeveless,unknown,polyster,unknown,unknown,unknown,1
casual,low,5.0,M,summer,v-neck,sleeveless,empire,polyster,chiffon,ruffles,animal,0
party,average,4.7,M,spring,v-neck,sleeveless,natural,polyster,chiffon,hollowout,solid,0
sexy,low,5.0,free,spring,o-neck,full,natural,cotton,worsted,unknown,striped,0
vintage,low,4.6,M,summer,o-neck,short,natural,unknown,chiffon,unknown,print,0
casual,average,0.0,free,winter,o-neck,halfsleeve,empire,polyster,chiffon,hollowout,solid,0
casual,low,4.9,L,summer,boat-neck,short,unknown,unknown,chiffon,unknown,patchwork,1
casual,low,0.0,S,automn,o-neck,full,natural,unknown,unknown,beading,solid,1
sexy,average,4.0,S,automn,v-neck,sleeveless,unknown,rayon,chiffon,unknown,patchwork,1
sexy,low,5.0,M,automn,o-neck,full,natural,unknown,chiffon,lace,print,1
brief,average,4.6,M,winter,peterpan-collor,threequarter,unknown,cotton,unknown,unknown,solid,0
casual,average,0.0,L,spring,boat-neck,sleeveless,natural,cotton,unknown,applique,patchwork,1
casual,average,4.8,L,winter,o-neck,short,natural,cotton,unknown,pockets,solid,1
ol,medium,0.0,M,winter,mandarin-collor,halfsleeve,natural,cotton,unknown,sashes,solid,0
sexy,low,4.8,M,spring,o-neck,halfsleeve,natural,silk,unknown,unknown,solid,0
casual,medium,0.0,S,spring,v-neck,full,unknown,unknown,unknown,unknown,animal,1
casual,medium,0.0,M,spring,v-neck,threequarter,natural,silk,chiffon,ruffles,solid,1
casual,average,0.0,M,spring,o-neck,sleeveless,natural,silk,unknown,unknown,print,0
casual,average,0.0,free,winter,v-neck,full,natural,unknown,chiffon,ruffles,print,0
vintage,low,4.8,S,summer,o-neck,short,natural,unknown,chiffon,ruffles,print,0
sexy,low,4.8,L,summer,v-neck,full,natural,cotton,jersey,applique,print,1
fashion,average,4.0,free,summer,open,full,unknown,cotton,unknown,sequined,solid,0
casual,average,4.7,L,summer,v-neck,short,natural,unknown,unknown,unknown,print,1
casual,low,0.0,free,winter,o-neck,halfsleeve,natural,polyster,worsted,unknown,patchwork,1
bohemian,low,4.8,free,summer,o-neck,short,unknown,unknown,unknown,unknown,animal,1
work,medium,4.6,L,winter,sqare-collor,short,empire,cotton,unknown,Tiered,solid,0
vintage,average,4.7,L,summer,o-neck,short,natural,cotton,unknown,button,solid,0
cute,low,4.7,M,spring,o-neck,short,empire,polyster,chiffon,ruffles,dot,1
casual,low,4.6,free,automn,o-neck,full,natural,cotton,unknown,unknown,solid,1
casual,medium,0.0,free,spring,o-neck,sleeveless,natural,cotton,broadcloth,sequined,solid,1
casual,average,4.7,L,automn,o-neck,halfsleeve,unknown,unknown,unknown,lace,unknown,0
sexy,average,0.0,L,automn,v-neck,sleeveless,empire,unknown,chiffon,unknown,patchwork,0
casual,low,4.7,free,winter,o-neck,sleeveless,natural,cotton,jersey,unknown,solid,1
casual,average,0.0,M,automn,o-neck,short,empire,polyster,unknown,applique,print,0
cute,average,4.8,L,automn,slash-neck,sleeveless,natural,unknown,chiffon,hollowout,solid,0
party,average,5.0,M,spring,o-neck,halfsleeve,natural,unknown,unknown,unknown,unknown,1
cute,average,4.3,L,winter,o-neck,sleeveless,natural,unknown,chiffon,unknown,solid,0
casual,average,4.5,L,spring,o-neck,short,natural,cotton,chiffon,unknown,patchwork,0
casual,low,4.7,L,automn,o-neck,full,unknown,cotton,chiffon,lace,print,0
casual,low,4.5,free,automn,v-neck,short,natural,silk,worsted,lace,solid,0
sexy,average,3.6,L,winter,v-neck,full,natural,polyster,wollen,beading,solid,1
work,average,4.8,L,winter,v-neck,short,natural,mix,broadcloth,lace,solid,0
vintage,average,0.0,free,summer,o-neck,sleeveless,unknown,unknown,unknown,unknown,unknown,0
sexy,low,4.6,free,spring,o-neck,full,natural,unknown,unknown,lace,leopard,1
sexy,low,0.0,free,winter,v-neck,sleeveless,empire,cotton,chiffon,unknown,solid,1
work,average,4.6,L,spring,o-neck,short,empire,cotton,jersey,unknown,patchwork,0
casual,average,4.4,M,summer,o-neck,short,empire,unknown,unknown,lace,patchwork,0
cute,low,4.9,M,automn,o-neck,short,natural,chiffonfabric,chiffon,bow,dot,0
sexy,low,4.6,free,summer,v-neck,sleeveless,natural,cotton,broadcloth,beading,solid,0
party,average,4.4,free,automn,v-neck,threequarter,natural,unknown,unknown,unknown,solid,0
casual,average,0.0,free,spring,o-neck,short,unknown,cotton,unknown,lace,unknown,1
casual,low,0.0,M,summer,v-neck,full,natural,acrylic,unknown,lace,solid,0
sexy,average,4.6,M,winter,o-neck,full,natural,polyster,unknown,unknown,patchwork,1
work,average,4.6,M,spring,v-neck,full,unknown,unknown,chiffon,unknown,unknown,0
cute,average,4.7,L,winter,o-neck,sleeveless,natural,chiffonfabric,unknown,lace,solid,0
bohemian,average,4.7,L,automn,o-neck,sleeveless,natural,unknown,chiffon,unknown,solid,0
cute,high,0.0,M,winter,o-neck,threequarter,empire,silk,chiffon,lace,patchwork,0
casual,average,0.0,XL,winter,o-neck,short,empire,polyster,unknown,button,solid,0
novelty,average,4.9,L,automn,o-neck,short,natural,polyster,chiffon,unknown,print,1
casual,low,4.7,M,automn,o-neck,full,unknown,cotton,unknown,unknown,solid,0
cute,average,4.3,free,summer,boat-neck,sleeveless,unknown,unknown,unknown,unknown,unknown,1
sexy,low,0.0,free,automn,slash-neck,short,empire,unknown,unknown,hollowout,solid,0
cute,low,4.7,XL,summer,o-neck,short,empire,chiffonfabric,chiffon,bow,print,0
sexy,low,4.5,L,spring,o-neck,sleeveless,unknown,unknown,unknown,lace,solid,0
casual,average,4.7,M,automn,o-neck,sleeveless,unknown,cotton,unknown,unknown,animal,1
casual,average,0.0,L,spring,boat-neck,sleeveless,natural,cotton,unknown,lace,solid,1
cute,low,4.7,free,summer,o-neck,sleeveless,unknown,unknown,chiffon,unknown,print,1
casual,low,4.4,free,summer,turndowncollor,sleeveless,natural,cotton,unknown,unknown,solid,0
casual,average,4.8,L,winter,v-neck,short,empire,polyster,unknown,ruffles,solid,0
vintage,average,4.3,free,winter,o-neck,short,unknown,chiffonfabric,chiffon,unknown,print,0
cute,low,4.5,L,summer,o-neck,sleeveless,natural,cotton,chiffon,sashes,solid,1
casual,average,4.4,M,summer,turndowncollor,sleeveless,natural,chiffonfabric,chiffon,unknown,solid,0
vintage,medium,0.0,S,winter,turndowncollor,halfsleeve,natural,cotton,broadcloth,unknown,plaid,0
sexy,low,4.7,free,summer,turndowncollor,sleeveless,natural,cotton,unknown,unknown,solid,1
vintage,high,0.0,L,summer,o-neck,short,natural,cotton,unknown,unknown,print,0
casual,low,0.0,free,spring,v-neck,threequarter,unknown,silk,unknown,lace,unknown,1
sexy,average,0.0,S,automn,slash-neck,short,natural,unknown,unknown,lace,solid,0
casual,low,0.0,free,spring,o-neck,short,natural,unknown,unknown,hollowout,solid,0
cute,medium,5.0,free,winter,o-neck,sleeveless,natural,silk,unknown,lace,solid,1
casual,low,4.7,free,summer,o-neck,sleeveless,unknown,unknown,unknown,unknown,print,0
sexy,low,4.8,free,spring,v-neck,sleeveless,unknown,unknown,unknown,sequined,solid,1
casual,average,4.5,L,winter,o-neck,short,natural,cotton,unknown,bow,patchwork,0
vintage,average,0.0,S,spring,o-neck,full,natural,mix,chiffon,embroidary,print,0
casual,average,3.7,free,automn,boat-neck,full,unknown,unknown,unknown,unknown,solid,1
vintage,average,4.8,L,winter,o-neck,sleeveless,natural,cotton,unknown,unknown,patchwork,0
cute,average,0.0,XL,spring,boat-neck,full,unknown,cotton,worsted,applique,dot,1
casual,average,0.0,L,winter,open,short,natural,mix,poplin,applique,solid,1
sexy,medium,5.0,M,winter,o-neck,sleeveless,empire,polyster,unknown,bow,solid,0
brief,average,4.9,free,summer,slash-neck,sleeveless,natural,unknown,unknown,unknown,solid,0
casual,high,4.9,S,spring,o-neck,threequarter,natural,unknown,unknown,unknown,dot,1
brief,average,4.6,free,winter,o-neck,full,natural,mix,unknown,sashes,solid,0
casual,low,4.5,free,winter,o-neck,full,natural,mix,worsted,applique,solid,0
casual,low,4.8,XL,summer,o-neck,short,empire,mix,chiffon,sashes,geometric,0
sexy,medium,4.6,L,summer,o-neck,short,natural,spandex,jersey,lace,solid,0
casual,average,4.5,M,winter,v-neck,sleeveless,natural,unknown,chiffon,button,striped,0
work,average,0.0,S,automn,o-neck,sleeveless,natural,linen,unknown,unknown,patchwork,0
casual,low,0.0,L,winter,o-neck,sleeveless,empire,polyster,unknown,unknown,leopard,0
cute,low,5.0,L,winter,o-neck,threequarter,natural,silk,chiffon,sashes,print,0
brief,average,4.3,M,spring,o-neck,full,natural,mix,worsted,sequined,patchwork,1
sexy,low,4.4,free,automn,o-neck,full,empire,cotton,unknown,unknown,leopard,0
cute,low,0.0,free,summer,peterpan-collor,short,empire,cotton,broadcloth,applique,print,0
casual,average,4.5,free,summer,o-neck,short,natural,cotton,unknown,unknown,solid,1
sexy,low,4.7,M,winter,slash-neck,sleeveless,unknown,nylon,unknown,sashes,solid,1
casual,low,4.7,free,spring,o-neck,sleeveless,empire,cotton,chiffon,unknown,floral,0
casual,medium,4.8,M,winter,peterpan-collor,short,natural,polyster,chiffon,lace,patchwork,0
sexy,low,4.3,free,winter,v-neck,sleeveless,natural,silk,worsted,lace,solid,1
bohemian,average,0.0,L,winter,turndowncollor,full,natural,mix,unknown,unknown,solid,0
casual,low,0.0,free,unknown,o-neck,full,natural,cotton,unknown,unknown,patchwork,0
cute,medium,4.8,free,spring,slash-neck,sleeveless,natural,polyster,chiffon,sashes,solid,1
sexy,average,0.0,S,automn,v-neck,sleeveless,empire,cotton,unknown,beading,solid,0
casual,low,4.6,S,spring,o-neck,full,natural,cotton,unknown,unknown,solid,1
vintage,medium,4.7,free,spring,turndowncollor,sleeveless,natural,mix,unknown,lace,solid,1
work,low,4.7,free,summer,o-neck,full,empire,cotton,unknown,unknown,solid,0
cute,average,4.8,M,summer,o-neck,short,natural,cotton,unknown,rivet,solid,0
cute,average,0.0,M,summer,o-neck,short,natural,cotton,chiffon,unknown,print,0
casual,average,4.7,M,winter,o-neck,full,unknown,unknown,unknown,unknown,animal,0
casual,low,4.6,free,winter,o-neck,full,natural,polyster,unknown,applique,solid,1
party,average,5.0,free,summer,v-neck,sleeveless,unknown,unknown,unknown,unknown,unknown,0
casual,average,0.0,free,summer,v-neck,sleeveless,natural,cotton,chiffon,unknown,patchwork,0
sexy,average,5.0,L,winter,o-neck,threequarter,natural,polyster,unknown,lace,geometric,0
sexy,average,4.8,free,winter,o-neck,sleeveless,natural,polyster,unknown,embroidary,solid,0
casual,average,4.7,S,summer,v-neck,short,natural,cotton,unknown,unknown,dot,0
casual,average,4.1,M,automn,v-neck,full,unknown,unknown,chiffon,sashes,unknown,1
casual,average,5.0,XL,automn,o-neck,short,natural,chiffonfabric,chiffon,unknown,unknown,0
sexy,average,5.0,M,summer,v-neck,sleeveless,empire,cotton,unknown,sequined,solid,1
work,average,4.6,L,summer,slash-neck,short,natural,cotton,unknown,unknown,solid,0
casual,average,4.5,M,summer,peterpan-collor,sleeveless,unknown,unknown,unknown,unknown,unknown,0
vintage,average,4.5,L,automn,o-neck,sleeveless,empire,unknown,worsted,unknown,solid,0
casual,average,0.0,M,summer,o-neck,threequarter,natural,nylon,broadcloth,unknown,solid,1
cute,average,4.7,L,summer,o-neck,sleeveless,natural,cotton,worsted,unknown,print,0
bohemian,low,4.7,free,winter,o-neck,short,natural,nylon,unknown,sashes,print,0
casual,low,5.0,free,spring,slash-neck,sleeveless,empire,spandex,unknown,unknown,striped,1
casual,average,5.0,M,winter,o-neck,sleeveless,natural,unknown,chiffon,sashes,solid,1
casual,average,4.3,free,summer,o-neck,sleeveless,natural,cotton,worsted,unknown,striped,0
work,low,4.5,M,winter,v-neck,threequarter,unknown,unknown,unknown,unknown,patchwork,0
casual,average,4.3,S,spring,boat-neck,full,natural,cotton,unknown,lace,patchwork,1
casual,average,4.4,L,automn,o-neck,halfsleeve,natural,unknown,dobby,lace,animal,0
sexy,low,4.3,M,automn,open,short,natural,lace,unknown,lace,print,0
casual,low,4.6,free,summer,o-neck,full,natural,cotton,worsted,lace,solid,1
casual,low,4.6,L,winter,o-neck,full,unknown,cotton,unknown,unknown,unknown,0
casual,average,4.6,M,spring,o-neck,sleeveless,natural,unknown,chiffon,sashes,solid,1
casual,low,0.0,free,automn,peterpan-collor,threequarter,empire,unknown,unknown,unknown,unknown,0
casual,average,4.7,S,spring,o-neck,halfsleeve,empire,unknown,chiffon,unknown,unknown,1
casual,average,0.0,S,summer,o-neck,sleeveless,empire,cotton,unknown,unknown,solid,0
casual,low,4.8,free,summer,o-neck,sleeveless,natural,cotton,unknown,unknown,print,1
casual,average,5.0,S,winter,o-neck,sleeveless,empire,polyster,chiffon,unknown,plaid,0
sexy,very-high,0.0,free,winter,v-neck,sleeveless,natural,polyster,knitted,unknown,solid,0
casual,low,4.4,free,summer,o-neck,sleeveless,natural,polyster,unknown,sashes,print,0
casual,average,4.8,M,automn,v-neck,short,unknown,unknown,chiffon,embroidary,print,1
casual,average,5.0,free,summer,v-neck,sleeveless,unknown,modal,unknown,unknown,patchwork,0
sexy,low,4.8,M,automn,v-neck,full,natural,cotton,unknown,unknown,print,1
casual,average,4.6,free,winter,v-neck,full,natural,cotton,flannel,unknown,striped,0
casual,average,4.6,M,winter,v-neck,full,natural,chiffonfabric,chiffon,unknown,unknown,0
casual,low,5.0,S,spring,o-neck,sleeveless,natural,chiffonfabric,unknown,unknown,print,0
cute,average,0.0,M,winter,o-neck,short,natural,polyster,chiffon,sashes,solid,0
casual,low,4.8,free,spring,o-neck,sleeveless,unknown,chiffonfabric,chiffon,unknown,print,1
casual,average,4.6,M,automn,o-neck,short,empire,polyster,unknown,applique,dot,0
bohemian,average,5.0,M,spring,slash-neck,sleeveless,empire,unknown,chiffon,ruffles,solid,1
casual,low,4.9,free,winter,o-neck,sleeveless,empire,silk,unknown,sashes,print,1
casual,average,4.7,L,summer,o-neck,sleeveless,natural,silk,chiffon,beading,solid,0
casual,medium,4.6,M,winter,o-neck,full,natural,cashmere,unknown,unknown,solid,1
casual,average,4.7,M,winter,v-neck,sleeveless,empire,polyster,chiffon,applique,print,0
sexy,average,4.7,M,winter,v-neck,sleeveless,natural,polyster,broadcloth,unknown,patchwork,0
casual,average,3.5,M,winter,v-neck,short,natural,unknown,unknown,unknown,solid,0
casual,average,4.8,M,winter,o-neck,threequarter,natural,unknown,unknown,unknown,print,1
casual,average,0.0,M,winter,o-neck,full,natural,cotton,jersey,feathers,solid,1
casual,low,4.6,M,summer,o-neck,sleeveless,natural,cotton,unknown,sashes,striped,0
casual,average,4.7,L,spring,v-neck,halfsleeve,natural,unknown,broadcloth,unknown,print,1
casual,low,4.5,free,summer,o-neck,full,natural,cotton,unknown,button,solid,0
casual,average,4.7,M,summer,o-neck,sleeveless,natural,polyster,unknown,unknown,character,0
casual,low,4.5,M,winter,o-neck,short,natural,chiffonfabric,chiffon,unknown,solid,0
casual,low,4.7,S,summer,o-neck,full,natural,cotton,unknown,unknown,patchwork,0
